region,Temp_C,Rain (mm),Humid,Price_F,month,dayofweek,heat_index
24,30.5,21.6,75.1,278.6,1,2,2290.5499999999997
25,22.5,48.0,53.1,105.2,1,2,1194.75
0,37.4,9.3,53.9,184.13,1,1,2015.86
1,25.3,193.1,59.9,313.37,1,1,1515.47
2,20.7,105.9,60.0,188.71,1,1,1242.0
3,22.7,13.1,91.9,177.66,1,1,2086.13
5,29.8,67.2,55.2,126.63,1,1,1644.96
6,24.5,309.2,58.7,321.61,1,1,1438.15
10,32.4,171.8,56.9,202.14,1,1,1843.56
11,29.4,159.5,73.1,106.23,1,1,2086.13
12,29.4,21.3,70.6,334.84,1,1,2086.13
13,36.8,0.9,88.3,117.93,1,1,3249.4399999999996
14,29.7,281.2,87.8,393.32,1,1,2607.66
15,24.9,85.1,86.9,199.22,1,1,2163.81
16,20.8,223.4,86.0,358.99,1,1,1788.8
17,26.3,125.0,52.1,453.7,1,1,1370.23
18,23.6,110.4,66.9,232.61,1,1,1578.8400000000001
20,29.6,58.6,93.1,302.18,1,1,2755.7599999999998
21,35.0,9.5,93.2,384.91,1,1,3262.0
22,23.7,44.2,64.5,418.94,1,1,1528.6499999999999
23,32.7,54.7,50.2,159.12,1,1,1641.5400000000002
25,32.2,152.9,64.9,92.46,1,1,2089.78
1,25.4,81.5,91.5,199.2,1,0,2324.1
3,34.4,107.1,68.6,111.65,1,0,2359.8399999999997
4,25.8,341.0,52.4,436.35,1,0,1351.92
5,24.9,171.8,81.0,464.3,1,0,2016.8999999999999
6,34.4,399.0,75.6,96.74,1,0,2600.64
8,27.4,157.2,85.1,161.22,1,0,2331.74
9,36.5,113.9,57.5,303.14,1,0,2098.75
10,29.1,138.1,69.6,318.52,1,0,2025.36
11,34.6,7.6,93.7,234.26,1,0,3242.0200000000004
12,30.2,148.2,92.4,224.94,1,0,2790.48
15,27.9,130.6,64.7,439.06,1,0,1805.1299999999999
17,22.2,243.0,54.2,356.62,1,0,1203.24
20,33.9,161.8,82.6,361.69,1,0,2800.14
21,36.0,224.5,80.9,229.04,1,0,2912.4
22,24.3,293.8,74.1,276.54,1,0,1800.6299999999999
23,23.0,350.0,59.0,235.94,1,0,1357.0
24,22.5,290.7,59.3,278.01,1,0,1334.25
25,25.0,314.0,67.7,107.42,1,0,1692.5
0,25.2,198.9,81.4,373.07,1,6,2051.28
1,35.5,16.4,70.7,399.45,1,6,2509.85
3,29.4,220.1,50.7,88.53,1,6,1490.58
4,33.9,171.8,68.7,374.5,1,6,2328.93
5,25.9,391.6,79.2,223.67,1,6,2051.2799999999997
7,30.7,302.6,65.1,120.21,1,6,1998.5699999999997
9,25.0,165.4,75.2,134.27,1,6,1880.0
10,30.4,171.8,69.1,209.85,1,6,2100.64
12,35.7,293.4,89.2,319.37,1,6,3184.4400000000005
13,23.4,383.3,93.4,125.81,1,6,2185.56
14,30.5,355.5,54.5,340.45,1,6,1662.25
15,28.0,39.7,77.8,327.25,1,6,2178.4
16,29.7,103.9,70.9,301.55,1,6,2105.73
18,28.4,305.5,79.4,400.9,1,6,2254.96
20,30.5,351.7,67.9,142.92,1,6,2070.9500000000003
22,20.2,171.8,61.0,333.04,1,6,1232.2
23,26.9,260.3,80.4,146.65,1,6,2162.76
24,21.7,171.8,82.9,248.97,1,6,1798.93
25,26.3,234.8,73.3,122.86,1,6,1927.79
0,20.4,358.1,81.8,193.52,2,5,1668.7199999999998
1,24.4,333.7,50.7,328.96,2,5,1237.08
3,28.6,328.4,58.7,179.01,2,5,1678.8200000000002
7,31.6,345.5,58.3,387.64,2,5,1842.28
8,25.2,284.8,81.3,421.54,2,5,2048.7599999999998
9,32.3,122.0,66.6,142.75,2,5,2151.18
11,34.2,98.0,84.5,88.65,2,5,2889.9
13,21.1,71.9,73.2,93.58,2,5,1544.5200000000002
14,22.3,299.8,63.7,355.97,2,5,1420.5100000000002
15,34.2,15.8,88.4,236.18,2,5,3023.2800000000007
16,27.3,290.0,57.5,252.34,2,5,1569.75
17,37.6,196.8,59.3,123.91,2,5,2229.68
18,30.5,381.0,66.2,273.56,2,5,2019.1000000000001
20,24.1,215.6,81.1,154.3,2,5,1954.51
21,34.1,361.4,74.4,240.89,2,5,2537.0400000000004
24,36.1,171.1,92.7,206.03,2,5,3346.4700000000003
25,27.5,117.3,61.9,93.04,2,5,1702.25
1,22.3,153.0,83.6,428.83,2,4,1864.28
2,32.3,239.4,59.1,131.47,2,4,1908.9299999999998
3,35.9,107.2,50.3,468.31,2,4,1805.7699999999998
4,29.5,287.7,68.5,222.96,2,4,2020.75
5,37.9,98.2,78.1,191.99,2,4,2959.99
6,24.8,21.1,93.7,243.41,2,4,2323.76
7,30.9,321.6,71.0,420.92,2,4,2193.9
8,29.5,208.7,57.4,226.15,2,4,1693.3
9,37.2,385.9,91.7,263.53,2,4,3411.2400000000002
10,20.1,99.6,86.1,486.46,2,4,1730.61
12,27.8,9.0,87.2,274.01,2,4,2424.1600000000003
13,24.5,28.9,60.2,216.88,2,4,1474.9
14,35.8,62.5,73.8,333.41,2,4,2086.13
16,36.0,183.7,81.3,348.83,2,4,2926.7999999999997
17,30.6,13.4,56.4,452.59,2,4,1725.8400000000001
18,26.0,171.6,85.8,236.32,2,4,2230.7999999999997
20,32.6,341.5,73.0,333.23,2,4,2379.8
21,33.8,155.3,64.3,120.77,2,4,2173.3399999999997
22,23.5,40.5,79.5,127.61,2,4,1868.25
23,32.4,192.3,52.6,246.45,2,4,1704.24
24,27.6,106.9,91.7,160.8,2,4,2530.92
25,27.6,254.2,63.2,393.98,2,4,1744.3200000000002
1,30.2,397.1,63.8,296.32,2,3,1926.7599999999998
5,21.6,171.8,90.1,271.07,2,3,1946.16
6,28.1,15.5,60.2,100.18,2,3,1691.6200000000001
7,26.4,166.5,65.6,289.41,2,3,1731.8399999999997
8,21.9,362.4,79.9,378.04,2,3,1749.81
9,29.4,4.3,71.7,183.52,2,3,2107.98
10,24.9,58.1,78.7,163.96,2,3,1959.6299999999999
11,23.0,140.8,70.2,327.53,2,3,1614.6000000000001
12,35.2,159.5,56.8,212.04,2,3,1999.3600000000001
13,30.3,104.4,74.1,385.66,2,3,2245.23
14,20.3,55.0,77.3,486.13,2,3,1569.19
15,31.9,192.2,81.0,116.95,2,3,2583.9
18,26.2,193.8,73.4,349.92,2,3,1923.0800000000002
20,37.5,377.1,54.7,312.91,2,3,2051.25
21,29.7,58.5,81.9,327.08,2,3,2432.4300000000003
22,34.0,18.4,84.2,115.75,2,3,2862.8
23,37.1,230.7,86.5,110.21,2,3,3209.15
24,29.4,16.8,81.4,375.9,2,3,2086.13
25,24.3,381.0,87.5,193.33,2,3,2126.25
0,35.5,43.0,83.0,383.0,2,2,2946.5
19,22.7,82.5,81.2,353.19,2,2,1843.24
2,33.9,181.6,69.5,93.27,2,2,2356.0499999999997
3,34.9,320.3,65.5,314.76,2,2,2285.95
4,29.7,195.7,84.7,284.4,2,2,2515.59
5,36.1,101.1,87.8,250.92,2,2,3169.58
6,23.3,171.8,87.6,210.74,2,2,2041.08
7,24.6,100.2,79.8,173.41,2,2,1963.0800000000002
8,34.4,37.8,91.9,352.68,2,2,3161.36
10,36.0,10.2,84.9,131.46,2,2,3056.4
19,26.2,287.9,63.6,303.69,2,2,1666.32
13,21.1,73.4,63.5,206.6,2,2,1339.8500000000001
14,30.9,138.7,75.8,243.41,2,2,2342.22
15,20.2,57.6,52.8,430.18,2,2,1066.56
16,25.4,45.3,74.1,484.66,2,2,1882.1399999999996
17,22.5,244.9,52.6,453.23,2,2,1183.5
18,32.7,23.6,57.3,165.24,2,2,1873.71
20,21.1,210.2,73.8,409.5,2,2,2086.13
21,34.6,315.8,77.0,419.27,2,2,2664.2000000000003
22,20.8,308.4,77.9,165.82,2,2,1620.3200000000002
23,22.9,386.3,55.4,101.27,2,2,1268.6599999999999
24,25.4,28.1,71.2,411.15,2,2,1808.48
25,26.2,219.4,85.0,420.54,2,2,2227.0
0,25.0,396.2,78.7,223.62,2,1,1967.5
1,31.8,300.4,82.7,393.34,2,1,2629.86
2,33.6,134.9,74.5,392.5,2,1,2503.2000000000003
3,33.6,285.3,72.0,288.06,2,1,2419.2000000000003
4,30.1,363.9,92.9,439.78,2,1,2796.2900000000004
5,37.1,226.8,69.9,282.13,2,1,2593.2900000000004
6,37.4,205.7,58.1,303.79,2,1,2172.94
7,37.7,120.8,90.2,279.19,2,1,3400.5400000000004
8,33.7,23.0,63.7,212.53,2,1,2146.69
9,35.3,79.3,74.6,159.08,2,1,2633.3799999999997
19,25.2,29.9,62.1,451.21,2,1,1564.92
11,30.4,191.5,91.3,334.75,2,1,2775.52
12,35.4,28.7,80.1,384.27,2,1,2835.5399999999995
13,20.4,63.6,72.8,151.24,2,1,1485.12
14,23.2,21.7,61.8,335.14,2,1,1433.76
17,29.9,248.2,73.8,470.09,2,1,2086.13
18,31.1,171.8,54.2,427.53,2,1,1685.6200000000001
20,31.7,171.8,68.7,445.19,2,1,2177.79
22,36.4,93.0,79.2,121.8,2,1,2882.88
24,32.4,171.8,88.6,95.52,2,1,2870.64
0,32.9,53.0,73.9,396.57,3,0,2431.31
1,27.7,210.3,88.0,411.15,3,0,2437.6
2,27.3,138.3,57.8,299.72,3,0,1577.94
5,26.3,103.9,90.1,247.66,3,0,2369.63
6,36.0,262.4,66.9,373.1,3,0,2408.4
19,27.5,181.3,53.3,193.82,3,0,1465.75
8,21.1,73.5,63.0,465.93,3,0,1329.3000000000002
10,34.8,107.8,84.0,283.97,3,0,2923.2
11,33.3,0.4,62.8,107.99,3,0,2091.24
12,30.2,174.2,55.0,335.92,3,0,1661.0
13,33.0,33.1,91.7,203.01,3,0,3026.1
14,26.1,372.0,57.9,106.47,3,0,1511.19
15,20.9,254.0,73.0,357.02,3,0,1525.6999999999998
17,26.7,394.6,72.6,273.51,3,0,1938.4199999999998
18,29.7,265.3,67.6,346.72,3,0,2007.7199999999998
20,33.7,217.6,88.7,476.19,3,0,2989.1900000000005
21,36.0,167.4,65.8,88.82,3,0,2368.7999999999997
22,21.6,374.6,59.4,314.99,3,0,1283.04
23,23.2,376.8,69.1,148.88,3,0,1603.12
24,37.6,300.7,90.2,155.7,3,0,3391.5200000000004
25,27.9,378.7,89.2,408.95,3,0,2488.68
0,20.2,153.0,73.8,240.12,3,6,2086.13
2,25.6,171.8,50.3,439.53,3,6,1287.68
3,22.1,313.1,67.5,275.63,3,6,1491.75
19,23.4,64.5,53.0,336.31,3,6,1240.1999999999998
5,26.6,26.6,88.8,448.67,3,6,2362.08
6,37.2,362.3,80.0,194.84,3,6,2976.0
7,33.3,222.0,79.3,173.37,3,6,2640.6899999999996
8,33.7,379.3,73.8,159.04,3,6,2086.13
9,22.2,383.0,55.6,201.51,3,6,1234.32
10,23.0,325.5,70.0,318.03,3,6,1610.0
12,29.4,161.5,81.6,371.56,3,6,2399.0399999999995
13,36.6,388.1,80.4,271.88,3,6,2942.6400000000003
14,24.6,56.2,73.8,376.8,3,6,2086.13
15,29.8,345.0,86.2,205.19,3,6,2568.76
18,32.7,303.5,73.8,264.25,3,6,2086.13
20,24.4,177.6,70.2,86.36,3,6,1712.8799999999999
21,28.1,13.2,75.6,123.66,3,6,2124.36
22,27.0,262.8,61.2,456.13,3,6,1652.4
23,26.8,158.9,86.1,464.19,3,6,2307.48
24,23.4,195.4,64.2,81.29,3,6,1502.28
25,25.1,364.0,70.9,93.45,3,6,1779.5900000000001
0,36.2,276.2,75.4,207.4,3,5,2729.4800000000005
2,33.5,245.4,93.3,311.46,3,5,3125.5499999999997
3,29.5,178.7,92.7,449.95,3,5,2734.65
4,27.3,55.6,60.8,469.65,3,5,1659.84
6,34.5,294.7,51.6,429.28,3,5,1780.2
7,36.7,200.6,73.8,292.76,3,5,2086.13
8,31.5,365.7,51.4,363.18,3,5,1619.1
9,29.9,119.0,51.7,361.25,3,5,1545.83
11,30.7,361.4,73.8,183.83,3,5,2086.13
12,27.0,381.2,54.1,298.78,3,5,1460.7
14,29.4,240.8,55.3,431.55,3,5,2086.13
15,21.1,182.2,64.3,428.98,3,5,1356.73
16,29.7,14.9,76.4,330.48,3,5,2269.08
17,34.6,117.2,69.8,100.57,3,5,2415.08
18,25.6,261.6,86.1,427.63,3,5,2204.16
20,31.1,246.3,81.6,184.02,3,5,2537.7599999999998
19,25.0,41.3,51.7,389.86,3,5,1292.5
22,37.5,288.6,75.6,135.66,3,5,2835.0
23,31.0,327.8,83.1,329.73,3,5,2576.1
24,36.9,368.6,83.3,456.68,3,5,3073.77
25,35.6,163.0,69.0,132.69,3,5,2456.4
0,29.0,33.3,73.8,401.96,3,4,2086.13
1,28.5,1.8,71.4,134.13,3,4,2034.9
5,24.2,346.6,85.6,286.25,3,4,2071.52
6,34.6,32.8,82.3,409.64,3,4,2847.58
8,28.1,267.6,52.0,308.88,3,4,1461.2
9,32.5,145.5,59.1,118.42,3,4,1920.75
10,27.2,111.0,56.3,461.68,3,4,1531.36
19,36.8,50.3,68.7,291.75,3,4,2528.16
13,24.4,246.6,75.5,192.46,3,4,1842.1999999999998
14,28.9,59.6,85.6,448.65,3,4,2473.8399999999997
15,23.3,262.0,77.7,291.82,3,4,1810.41
18,20.2,117.1,58.1,103.01,3,4,1173.62
21,32.3,17.5,57.7,211.72,3,4,1863.71
24,22.7,108.3,57.2,364.23,3,4,1298.44
25,33.1,24.9,58.4,277.7,3,4,1933.04
1,29.4,236.4,72.6,239.85,3,3,2086.13
2,29.7,222.5,50.3,201.84,3,3,1493.9099999999999
3,33.5,361.0,69.0,374.46,3,3,2311.5
6,29.4,359.1,61.3,247.84,3,3,2086.13
7,24.8,171.8,66.3,260.39,3,3,1644.24
8,21.0,365.0,89.6,256.3,3,3,1881.6
10,29.4,68.6,54.3,441.92,3,3,2086.13
11,24.6,237.5,78.8,288.3,3,3,1938.48
13,26.6,180.6,79.7,230.05,3,3,2120.02
16,30.6,310.5,52.6,112.97,3,3,1609.5600000000002
20,24.1,260.5,80.3,431.69,3,3,1935.23
22,35.2,73.8,87.6,320.41,3,3,3083.52
19,33.2,224.2,88.4,299.07,3,3,2934.8800000000006
24,28.4,333.8,88.8,120.11,3,3,2521.9199999999996
25,33.8,44.4,50.8,221.21,3,3,1717.0399999999997
2,22.1,41.0,56.5,389.25,4,2,1248.65
3,34.4,65.4,86.8,437.85,4,2,2985.9199999999996
4,33.5,211.4,65.9,184.5,4,2,2207.65
5,33.4,218.3,94.1,481.05,4,2,3142.9399999999996
19,31.7,171.8,86.3,369.86,4,2,2735.71
7,34.6,178.9,62.6,398.02,4,2,2165.96
8,30.4,184.0,63.3,246.02,4,2,1924.32
9,24.3,366.9,56.6,176.24,4,2,1375.38
10,23.7,171.8,84.2,470.98,4,2,1995.54
11,24.3,125.1,66.1,136.82,4,2,1606.23
12,28.0,349.4,89.7,414.88,4,2,2511.6
13,35.9,221.3,53.9,486.2,4,2,1935.0099999999998
15,29.4,290.0,89.8,81.72,4,2,2086.13
17,36.5,33.1,71.1,146.5,4,2,2595.1499999999996
18,37.7,308.9,78.2,420.97,4,2,2948.1400000000003
20,28.1,159.0,67.5,229.14,4,2,1896.75
21,36.7,274.4,51.3,322.8,4,2,1882.71
22,26.1,24.2,68.2,111.86,4,2,1780.0200000000002
23,30.4,287.6,59.5,134.17,4,2,1808.8
24,22.1,302.4,73.8,482.57,4,2,2086.13
25,33.0,371.8,72.3,372.09,4,2,2385.9
19,24.1,108.1,53.3,230.79,4,0,1284.53
1,26.4,147.4,76.6,201.9,4,0,2022.2399999999998
2,25.7,30.7,89.8,150.04,4,1,2307.8599999999997
4,32.3,107.9,77.7,473.42,4,1,2509.71
5,29.7,261.3,90.5,261.17,4,1,2687.85
6,34.1,53.8,83.5,357.32,4,1,2847.35
7,20.7,164.5,72.7,161.41,4,1,1504.89
19,32.8,68.7,75.5,130.04,4,1,2476.3999999999996
10,29.4,166.7,53.3,335.93,4,1,2086.13
11,32.3,374.9,62.4,453.24,4,1,2015.5199999999998
12,32.6,219.2,86.8,378.91,4,1,2829.68
13,31.9,280.4,64.8,194.22,4,1,2067.12
15,29.4,182.2,62.3,259.47,4,1,2086.13
16,36.7,32.4,53.7,158.27,4,1,1970.7900000000002
20,23.2,179.5,76.4,131.09,4,1,1772.48
21,31.8,270.1,82.0,435.04,4,1,2607.6
22,32.2,283.6,61.3,318.16,4,1,1973.8600000000001
23,30.2,372.5,94.7,110.16,4,1,2859.94
24,27.2,102.1,83.0,79.33,4,1,2257.6
25,33.0,203.7,73.5,147.53,4,1,2425.5
0,33.7,210.0,60.0,276.54,4,6,2022.0000000000002
1,34.6,32.4,55.2,161.39,4,6,1909.92
2,29.7,284.6,65.2,449.7,4,6,1936.44
4,29.4,171.8,55.4,399.17,4,0,2086.13
5,30.4,171.8,87.4,346.97,4,0,2656.96
6,24.2,69.0,88.1,430.17,4,0,2132.02
8,37.6,338.9,65.6,454.08,4,0,2466.56
9,23.7,69.7,89.1,83.09,4,0,2111.6699999999996
11,31.6,349.6,78.1,372.65,4,0,2467.96
12,37.5,366.5,62.7,472.63,4,0,2351.25
13,34.3,396.6,70.0,453.53,4,0,2401.0
14,25.7,97.4,88.9,454.29,4,0,2284.73
16,22.7,300.0,75.6,238.55,4,0,1716.12
17,25.7,171.8,73.8,476.65,4,0,2086.13
22,20.6,240.4,82.2,360.33,4,0,1693.3200000000002
23,35.2,270.5,86.8,452.57,4,0,3055.36
24,32.0,40.2,61.4,315.01,4,0,1964.8
25,29.4,84.9,68.1,329.97,4,0,2086.13
1,33.7,264.6,68.0,443.26,4,5,2291.6000000000004
2,22.5,273.8,80.2,427.59,4,5,1804.5
4,22.3,33.2,57.6,133.26,4,5,1284.48
5,27.1,58.1,59.6,242.72,4,5,1615.16
7,29.4,353.0,54.4,185.21,4,6,1599.36
8,24.4,171.8,56.8,116.03,4,6,1385.9199999999998
9,29.4,122.1,54.3,306.35,4,6,1596.4199999999998
11,25.4,280.5,54.0,428.15,4,6,1371.6
12,36.6,254.6,90.4,345.3,4,6,3308.6400000000003
13,30.4,336.1,51.5,237.81,4,6,1565.6
16,20.2,22.5,50.9,169.77,4,6,1028.1799999999998
17,24.0,59.0,59.1,177.06,4,6,1418.4
18,25.9,20.4,82.1,366.32,4,6,2126.39
20,30.9,7.5,68.5,295.38,4,6,2116.65
21,24.5,171.8,89.6,348.26,4,6,2195.2
22,34.3,14.6,94.7,80.59,4,6,3248.21
23,32.0,174.4,71.9,119.35,4,6,2300.8
24,24.7,171.8,94.9,280.27,4,6,2344.03
25,36.8,107.7,74.5,102.1,4,6,2741.6
1,25.9,142.5,91.6,421.51,4,4,2372.4399999999996
4,31.9,41.7,83.8,109.84,4,4,2673.22
6,27.0,149.1,64.5,99.2,4,4,1741.5
7,30.3,70.1,82.6,320.09,4,4,2502.7799999999997
8,37.1,225.4,87.9,261.38,4,5,3261.09
9,29.4,171.8,54.7,402.48,4,5,2086.13
12,36.8,18.9,84.3,140.41,4,5,3102.24
13,24.2,171.8,57.9,129.96,4,5,1401.1799999999998
14,29.4,74.3,81.9,163.89,4,5,2086.13
16,23.1,153.8,58.9,461.55,4,5,1360.5900000000001
17,21.9,28.0,65.7,223.07,4,5,1438.83
18,34.9,84.6,67.1,156.29,4,5,2341.7899999999995
21,22.3,337.6,73.8,342.92,4,5,2086.13
22,24.6,35.3,90.0,176.24,4,5,2214.0
23,29.4,131.2,93.4,419.15,4,5,2086.13
24,34.8,171.9,77.4,256.38,4,5,2693.52
25,37.0,371.0,64.3,466.08,4,5,2379.1
0,29.1,284.2,61.8,201.7,4,3,1798.38
1,23.4,317.5,76.7,458.76,4,3,1794.78
2,35.2,41.7,83.8,241.8,4,3,2949.76
3,29.2,1.2,68.0,411.94,4,3,1985.6
4,27.4,16.3,72.4,128.35,4,3,1983.76
5,25.6,291.9,63.4,344.17,4,3,1623.04
6,32.2,277.4,91.9,261.13,4,3,2959.1800000000003
7,25.4,307.8,85.4,390.54,4,3,2169.16
9,33.9,394.5,62.5,147.13,4,3,2118.75
10,30.8,4.2,78.3,222.26,5,4,2411.64
11,35.2,30.7,90.1,431.22,5,4,3171.52
12,30.1,214.7,62.6,143.84,5,4,1884.2600000000002
13,29.9,123.8,90.5,239.5,5,4,2705.95
14,27.8,171.8,59.0,191.94,5,4,1640.2
16,36.5,270.8,92.7,257.13,5,4,3383.55
17,31.3,74.6,60.2,364.51,5,4,1884.2600000000002
18,22.2,26.5,60.4,334.88,5,4,1340.8799999999999
21,31.0,270.3,84.4,164.43,5,4,2616.4
22,35.7,191.1,50.3,287.32,5,4,1795.71
23,31.1,54.5,70.9,351.89,5,4,2204.9900000000002
24,32.0,386.3,70.1,386.53,5,4,2243.2
25,29.4,332.8,89.3,211.92,5,4,2086.13
0,29.8,145.4,79.6,84.93,5,2,2372.08
2,29.8,371.4,80.4,311.6,5,2,2395.92
4,37.5,114.8,52.0,278.44,5,2,1950.0
5,37.8,123.8,88.7,387.21,5,2,3352.8599999999997
6,35.1,77.9,54.1,164.08,5,2,1898.91
7,21.5,29.0,82.8,342.99,5,2,1780.2
8,31.6,171.8,75.5,113.61,5,2,2385.8
10,32.6,36.8,77.8,210.12,5,2,2536.28
11,31.1,39.5,78.7,355.5,5,2,2447.57
19,37.2,234.7,80.8,125.13,5,3,3005.76
14,23.7,226.2,61.1,403.08,5,3,1448.07
15,25.7,241.1,78.7,119.24,5,3,2022.59
16,29.9,297.8,92.9,485.43,5,3,2777.71
17,20.1,168.7,60.1,334.05,5,3,1208.0100000000002
18,31.9,225.2,63.0,359.05,5,3,2009.6999999999998
20,35.0,230.3,56.4,445.94,5,3,1974.0
21,25.2,292.9,65.0,346.49,5,3,1638.0
22,21.5,98.8,82.1,124.77,5,3,1765.1499999999999
25,25.5,10.5,57.6,444.14,5,3,1468.8
19,29.1,260.0,55.8,162.01,5,1,1623.78
4,22.4,313.1,76.3,256.44,5,1,1709.12
5,30.3,396.6,84.6,334.62,5,1,2563.38
6,20.1,31.2,93.6,472.01,5,1,1881.3600000000001
7,35.8,113.1,80.4,401.65,5,1,2878.32
8,37.5,337.7,82.4,364.74,5,1,3090.0
9,29.4,79.3,80.2,251.31,5,1,2086.13
10,29.0,132.6,87.2,430.19,5,1,2528.8
11,30.0,171.8,79.2,464.03,5,1,2376.0
12,26.0,35.2,89.5,223.89,5,1,2327.0
13,35.0,212.5,70.4,404.41,5,1,2464.0
15,34.8,18.0,77.0,436.55,5,2,2679.6
16,35.9,135.2,77.4,454.64,5,2,2778.6600000000003
17,31.0,109.6,74.3,151.54,5,2,2303.2999999999997
18,29.4,142.4,78.7,172.43,5,2,2086.13
20,36.6,177.2,75.9,213.55,5,2,2777.9400000000005
21,34.7,50.5,84.7,427.69,5,2,2939.09
22,25.5,321.7,89.3,102.43,5,2,2277.15
24,27.7,171.8,85.7,350.13,5,2,2373.89
0,29.0,263.8,58.0,83.57,5,0,1682.0
1,28.0,111.1,62.6,257.51,5,0,1752.8
2,31.8,81.8,78.5,146.91,5,0,2496.3
3,20.0,181.5,90.5,162.74,5,0,1810.0
4,31.8,186.3,56.9,451.97,5,0,1809.42
5,30.9,18.5,79.7,425.69,5,0,2462.73
8,32.3,226.3,68.7,312.11,5,0,2219.0099999999998
9,23.2,23.2,73.2,219.18,5,0,1698.24
10,23.6,73.6,50.3,368.38,5,0,1187.08
11,34.1,171.8,67.6,204.4,5,0,2305.16
12,29.2,171.8,89.8,98.09,5,0,2622.16
13,28.8,154.9,78.2,310.77,5,0,2252.1600000000003
14,31.6,369.3,76.3,316.76,5,0,2411.08
15,27.6,165.0,56.5,177.43,5,0,1559.4
16,21.5,41.9,77.9,118.25,5,1,1674.8500000000001
17,28.7,70.4,81.1,184.01,5,1,2327.5699999999997
19,31.4,31.8,74.1,234.32,5,1,2326.74
21,20.2,126.9,73.2,158.12,5,1,1478.64
23,24.6,94.7,73.8,113.74,5,1,2086.13
24,27.7,67.6,89.9,360.47,5,1,2490.23
25,26.8,17.4,75.1,155.0,5,1,2012.6799999999998
0,36.4,81.3,57.3,479.27,5,6,2085.72
1,35.3,82.4,77.2,374.02,5,6,2725.16
2,30.8,376.8,78.9,300.46,5,6,2430.1200000000003
3,27.1,146.3,92.1,161.31,5,6,2495.91
4,22.4,122.2,69.3,453.38,5,6,1552.32
5,27.4,336.3,77.4,239.75,5,6,2120.76
6,32.2,63.7,83.8,140.03,5,6,2698.36
7,31.8,36.2,78.6,273.14,5,6,2499.48
8,34.2,372.2,58.3,118.25,5,6,1993.8600000000001
9,23.9,140.1,66.0,290.83,5,6,1577.3999999999999
10,29.4,44.6,52.2,198.22,5,6,2086.13
11,37.3,316.3,66.9,354.47,5,6,2495.37
12,31.0,45.0,71.2,260.45,5,6,2207.2000000000003
13,24.1,180.2,76.6,164.99,5,6,1846.06
19,23.4,346.0,60.8,344.28,5,6,1422.7199999999998
15,28.0,11.8,66.3,367.81,5,6,1856.3999999999999
17,31.4,390.3,52.1,293.75,5,6,1635.94
20,31.3,245.7,84.6,356.65,5,0,2647.98
21,32.8,16.7,79.0,78.0,5,0,2591.2
22,24.7,16.2,92.9,380.64,5,0,2294.63
23,32.9,228.0,87.1,297.51,5,0,2865.5899999999997
24,22.6,356.5,87.8,370.01,5,0,1984.28
25,36.2,171.8,79.7,99.98,5,0,2885.1400000000003
0,29.2,377.2,65.3,326.31,5,5,1906.7599999999998
1,34.6,377.5,63.4,366.72,5,5,2193.64
2,36.3,358.7,84.9,118.08,5,5,3081.87
3,29.1,68.1,78.4,372.21,5,5,2281.44
4,25.2,68.9,89.7,223.41,5,5,2260.44
8,30.8,122.5,72.9,318.38,5,5,2245.32
9,25.2,57.3,59.1,245.83,5,5,1489.32
